eval_index,qpso_iter,particle,validity,uniqueness,fitness,gbest_fitness,best_v_ever,best_u_ever,qualified_v,qualified_u,alpha,stagnation,elapsed_s
92,1,28,0.5044,0.2098,0.1058,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
93,1,29,0.384,0.0432,0.0166,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
94,1,30,0.7268,0.0226,0.0164,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
95,1,31,0.4948,0.0841,0.0416,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
96,2,0,0.4916,0.7799,0.3834,0.3834,1.0,0.8252,0.5012,0.5499,1.1521,0,10.2
97,2,1,0.5876,0.5589,0.3284,0.3834,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
98,2,2,0.8176,0.4958,0.4054,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
99,2,3,0.8686,0.015,0.013,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
100,2,4,0.2034,0.1691,0.0344,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
101,2,5,0.6838,0.2735,0.187,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
102,2,6,0.4216,0.3354,0.1414,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
103,2,7,0.5414,0.3657,0.198,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
104,2,8,0.7718,0.2578,0.199,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
105,2,9,0.2548,0.5942,0.1514,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
106,2,10,0.73,0.1162,0.0848,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
107,2,11,0.6796,0.3376,0.2294,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
108,2,12,0.6076,0.2732,0.166,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
109,2,13,0.7202,0.2433,0.1752,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
110,2,14,0.6318,0.2146,0.1356,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
111,2,15,0.7982,0.1538,0.1228,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
112,2,16,0.5816,0.5083,0.2956,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
113,2,17,0.5872,0.2718,0.1596,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
114,2,18,0.68,0.3441,0.234,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
115,2,19,0.572,0.3374,0.193,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
116,2,20,0.6916,0.155,0.1072,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
117,2,21,0.5544,0.3741,0.2074,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
118,2,22,0.6492,0.0974,0.0632,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
119,2,23,0.7688,0.2118,0.1628,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
120,2,24,0.6916,0.2426,0.1678,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
121,2,25,0.5652,0.0609,0.0344,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
122,2,26,0.4838,0.2774,0.1342,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
123,2,27,0.1714,0.3571,0.0612,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
124,2,28,0.49,0.4902,0.2402,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
125,2,29,0.9604,0.0977,0.0938,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
126,2,30,0.4968,0.1598,0.0794,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
127,2,31,0.6962,0.0899,0.0626,0.4054,1.0,0.8252,0.5876,0.5589,1.1521,0,10.2
128,3,0,0.6046,0.2223,0.1344,0.4054,1.0,0.8252,0.5876,0.5589,1.2583,0,10.3
129,3,1,0.7882,0.4248,0.3348,0.4054,1.0,0.8252,0.5876,0.5589,1.2583,0,10.3
130,3,2,0.7434,0.512,0.3806,0.4054,1.0,0.8252,0.7434,0.5589,1.2583,0,10.3
131,3,3,0.9238,0.0987,0.0912,0.4054,1.0,0.8252,0.7434,0.5589,1.2583,0,10.3
132,3,4,0.61,0.4321,0.2636,0.4054,1.0,0.8252,0.7434,0.5589,1.2583,0,10.3
